#podName,tenantCreation,dwsDequeue,superCreation,superReady,uwsDequeue,tenantUpdate
vc33-t59-pod6,1608595656,1608595656,1608595656,1608595661,1608595661,1608595661
vc51-t53-pod7,1608595657,1608595657,1608595657,1608595664,1608595664,1608595664
vc36-t21-pod7,1608595657,1608595657,1608595657,1608595664,1608595664,1608595664
vc20-t85-pod12,1608595662,1608595662,1608595662,1608595672,1608595672,1608595672
vc8-t97-pod13,1608595663,1608595663,1608595663,1608595674,1608595674,1608595674
vc59-t69-pod4,1608595654,1608595654,1608595654,1608595657,1608595657,1608595657
vc22-t34-pod12,1608595662,1608595662,1608595662,1608595673,1608595673,1608595673
vc45-t2-pod14,1608595664,1608595664,1608595664,1608595676,1608595676,1608595676
vc87-t75-pod16,1608595666,1608595666,1608595666,1608595679,1608595679,1608595679
vc44-t64-pod18,1608595668,1608595668,1608595668,1608595681,1608595681,1608595681
vc5-t23-pod9,1608595659,1608595659,1608595659,1608595667,1608595667,1608595667
vc25-t48-pod4,1608595654,1608595654,1608595654,1608595657,1608595657,1608595657
vc24-t12-pod12,1608595662,1608595662,1608595662,1608595673,1608595673,1608595673
vc20-t85-pod17,1608595667,1608595667,1608595667,1608595680,1608595680,1608595680
vc18-t42-pod17,1608595667,1608595667,1608595667,1608595680,1608595680,1608595680
vc45-t2-pod25,1608595675,1608595675,1608595675,1608595687,1608595687,1608595687
vc87-t75-pod1,1608595651,1608595651,1608595651,1608595651,1608595651,1608595652
vc17-t71-pod4,1608595654,1608595654,1608595654,1608595657,1608595657,1608595657
vc12-t67-pod12,1608595662,1608595662,1608595662,1608595673,1608595673,1608595673
vc99-t32-pod15,1608595665,1608595665,1608595665,1608595678,1608595678,1608595678
vc22-t34-pod25,1608595675,1608595675,1608595675,1608595687,1608595687,1608595687
vc85-t54-pod1,1608595651,1608595651,1608595651,1608595652,1608595652,1608595652
vc28-t80-pod3,1608595653,1608595653,1608595653,1608595655,1608595655,1608595655
vc54-t77-pod3,1608595653,1608595653,1608595653,1608595656,1608595656,1608595656
vc49-t3-pod22,1608595672,1608595672,1608595672,1608595685,1608595685,1608595685
vc51-t53-pod2,1608595652,1608595652,1608595652,1608595653,1608595653,1608595653
vc21-t78-pod3,1608595653,1608595653,1608595653,1608595655,1608595655,1608595655
vc37-t1-pod14,1608595664,1608595664,1608595664,1608595676,1608595676,1608595676
vc35-t28-pod20,1608595670,1608595670,1608595670,1608595684,1608595684,1608595684
vc79-t5-pod0,1608595650,1608595651,1608595651,1608595651,1608595651,1608595651
vc88-t19-pod6,1608595656,1608595656,1608595656,1608595661,1608595661,1608595661
vc24-t12-pod13,1608595663,1608595663,1608595663,1608595675,1608595675,1608595675
vc71-t39-pod16,1608595666,1608595666,1608595666,1608595679,1608595679,1608595679
vc14-t41-pod1,1608595651,1608595651,1608595651,1608595651,1608595652,1608595652
vc93-t31-pod1,1608595651,1608595651,1608595651,1608595651,1608595651,1608595652
vc6-t4-pod6,1608595656,1608595656,1608595656,1608595662,1608595662,1608595662
vc79-t5-pod16,1608595666,1608595666,1608595666,1608595679,1608595679,1608595679
vc79-t5-pod20,1608595670,1608595670,1608595670,1608595684,1608595684,1608595684
vc80-t87-pod0,1608595650,1608595650,1608595650,1608595650,1608595651,1608595651
vc21-t78-pod6,1608595656,1608595656,1608595656,1608595661,1608595661,1608595661
vc93-t31-pod6,1608595656,1608595656,1608595656,1608595661,1608595661,1608595661
vc83-t18-pod1,1608595651,1608595651,1608595651,1608595651,1608595652,1608595652
vc83-t18-pod3,1608595653,1608595653,1608595653,1608595655,1608595655,1608595655
vc39-t49-pod0,1608595650,1608595651,1608595651,1608595651,1608595651,1608595651
vc77-t73-pod6,1608595656,1608595656,1608595656,1608595661,1608595661,1608595661
vc83-t18-pod16,1608595666,1608595666,1608595666,1608595679,1608595679,1608595679
vc35-t28-pod17,1608595667,1608595667,1608595667,1608595681,1608595681,1608595681
vc72-t24-pod0,1608595650,1608595650,1608595650,1608595650,1608595650,1608595651
vc12-t67-pod4,1608595654,1608595654,1608595654,1608595657,1608595657,1608595657
vc90-t46-pod6,1608595656,1608595656,1608595656,1608595660,1608595660,1608595660
vc5-t23-pod6,1608595656,1608595656,1608595656,1608595661,1608595661,1608595661
vc95-t43-pod15,1608595665,1608595665,1608595665,1608595678,1608595678,1608595678
vc34-t60-pod0,1608595650,1608595650,1608595651,1608595651,1608595651,1608595651
vc18-t42-pod10,1608595660,1608595660,1608595660,1608595670,1608595670,1608595670
vc83-t18-pod15,1608595665,1608595665,1608595665,1608595677,1608595677,1608595677
vc92-t47-pod15,1608595665,1608595665,1608595665,1608595677,1608595677,1608595677
vc57-t44-pod5,1608595655,1608595655,1608595655,1608595660,1608595660,1608595660
vc73-t96-pod4,1608595654,1608595654,1608595654,1608595658,1608595658,1608595658
vc28-t80-pod6,1608595656,1608595656,1608595656,1608595661,1608595661,1608595661
vc71-t39-pod6,1608595656,1608595656,1608595656,1608595662,1608595662,1608595662
vc44-t64-pod14,1608595664,1608595664,1608595664,1608595676,1608595676,1608595676
vc16-t99-pod21,1608595671,1608595671,1608595671,1608595684,1608595684,1608595684
vc36-t21-pod22,1608595672,1608595672,1608595672,1608595685,1608595685,1608595685
vc29-t62-pod26,1608595676,1608595676,1608595676,1608595687,1608595687,1608595687
vc66-t38-pod1,1608595651,1608595651,1608595651,1608595652,1608595652,1608595652
vc51-t53-pod12,1608595662,1608595662,1608595662,1608595673,1608595673,1608595673
vc75-t25-pod14,1608595664,1608595664,1608595664,1608595675,1608595675,1608595675
vc70-t95-pod18,1608595668,1608595668,1608595668,1608595682,1608595682,1608595682
vc7-t56-pod20,1608595670,1608595670,1608595670,1608595683,1608595683,1608595683
vc78-t51-pod6,1608595656,1608595656,1608595656,1608595661,1608595661,1608595661
vc71-t39-pod4,1608595654,1608595654,1608595654,1608595657,1608595657,1608595657
vc19-t35-pod9,1608595659,1608595659,1608595659,1608595667,1608595667,1608595667
vc18-t42-pod16,1608595666,1608595666,1608595666,1608595679,1608595679,1608595679
vc66-t38-pod3,1608595653,1608595653,1608595653,1608595655,1608595655,1608595655
vc42-t27-pod5,1608595655,1608595655,1608595655,1608595659,1608595659,1608595659
vc10-t66-pod5,1608595655,1608595655,1608595655,1608595659,1608595659,1608595659
