#podName,tenantCreation,dwsDequeue,superCreation,superReady,uwsDequeue,tenantUpdate
vc37-t12-pod9,1608955217,1608955217,1608955217,1608955217,1608955218,1608955218
vc21-t24-pod0,1608955217,1608955217,1608955217,1608955217,1608955217,1608955217
vc93-t33-pod12,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc26-t4-pod16,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc54-t46-pod0,1608955217,1608955217,1608955217,1608955217,1608955217,1608955217
vc35-t41-pod23,1608954632,1608954632,1608954632,1608954633,1608954634,1608954634
vc41-t12-pod2,1608954632,1608954632,1608954632,1608954632,1608954632,1608954632
vc24-t17-pod25,1608955217,1608955218,1608955218,1608955218,1608955219,1608955219
vc65-t20-pod12,1608955001,1608955001,1608955001,1608955001,1608955002,1608955002
vc93-t33-pod17,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc93-t33-pod19,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc41-t12-pod100,1608954634,1608954638,1608954638,1608954638,1608954641,1608954641
vc62-t13-pod4,1608955217,1608955217,1608955217,1608955217,1608955217,1608955217
vc8-t13-pod13,1608955001,1608955001,1608955001,1608955001,1608955002,1608955002
vc96-t15-pod8,1608955217,1608955217,1608955217,1608955217,1608955218,1608955218
vc32-t5-pod12,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc59-t2-pod13,1608954632,1608954632,1608954632,1608954633,1608954633,1608954633
vc52-t16-pod33,1608955001,1608955001,1608955001,1608955002,1608955003,1608955003
vc97-t34-pod12,1608955217,1608955217,1608955217,1608955217,1608955218,1608955218
vc62-t13-pod15,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc61-t6-pod1,1608955217,1608955217,1608955217,1608955217,1608955217,1608955217
vc16-t11-pod18,1608954632,1608954632,1608954632,1608954633,1608954633,1608954634
vc48-t27-pod21,1608955217,1608955217,1608955217,1608955218,1608955219,1608955219
vc37-t12-pod2,1608955217,1608955217,1608955217,1608955217,1608955217,1608955217
vc17-t31-pod8,1608955217,1608955217,1608955217,1608955217,1608955218,1608955218
vc51-t34-pod16,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc46-t1-pod29,1608955001,1608955001,1608955001,1608955002,1608955003,1608955003
vc67-t14-pod10,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc8-t13-pod21,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc96-t15-pod9,1608955217,1608955217,1608955217,1608955217,1608955218,1608955218
vc78-t10-pod11,1608955001,1608955001,1608955001,1608955001,1608955002,1608955002
vc32-t5-pod25,1608955218,1608955218,1608955218,1608955218,1608955219,1608955219
vc52-t16-pod14,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc58-t21-pod22,1608954632,1608954632,1608954632,1608954633,1608954633,1608954634
vc58-t21-pod27,1608954632,1608954632,1608954632,1608954633,1608954634,1608954634
vc45-t1-pod1,1608955217,1608955217,1608955217,1608955217,1608955217,1608955217
vc27-t11-pod19,1608955217,1608955218,1608955218,1608955218,1608955219,1608955219
vc65-t20-pod18,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc17-t31-pod9,1608955217,1608955217,1608955217,1608955217,1608955218,1608955218
vc41-t12-pod1,1608954632,1608954632,1608954632,1608954632,1608954632,1608954632
vc45-t1-pod7,1608955217,1608955217,1608955217,1608955217,1608955218,1608955218
vc24-t17-pod23,1608955217,1608955217,1608955218,1608955218,1608955219,1608955219
vc96-t15-pod23,1608955217,1608955217,1608955217,1608955218,1608955219,1608955219
vc30-t25-pod20,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc61-t6-pod15,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc92-t23-pod21,1608954632,1608954632,1608954632,1608954633,1608954633,1608954634
vc46-t1-pod32,1608955001,1608955001,1608955001,1608955002,1608955003,1608955003
vc4-t20-pod1,1608955217,1608955217,1608955217,1608955217,1608955217,1608955217
vc96-t15-pod1,1608955217,1608955217,1608955217,1608955217,1608955217,1608955217
vc78-t10-pod18,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc52-t16-pod31,1608955001,1608955001,1608955001,1608955002,1608955003,1608955003
vc16-t11-pod19,1608954632,1608954632,1608954632,1608954633,1608954633,1608954634
vc30-t25-pod15,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc68-t27-pod16,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc34-t18-pod12,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc27-t11-pod11,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc24-t17-pod13,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
vc97-t34-pod29,1608955218,1608955218,1608955218,1608955218,1608955219,1608955219
vc33-t11-pod21,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc33-t11-pod24,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc46-t1-pod20,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc35-t41-pod33,1608954632,1608954632,1608954632,1608954633,1608954634,1608954635
vc62-t13-pod5,1608955217,1608955217,1608955217,1608955217,1608955217,1608955217
vc8-t13-pod16,1608955001,1608955001,1608955001,1608955002,1608955002,1608955002
vc70-t28-pod12,1608955001,1608955001,1608955001,1608955001,1608955002,1608955002
vc68-t27-pod10,1608955001,1608955001,1608955001,1608955001,1608955002,1608955002
vc21-t24-pod11,1608955217,1608955217,1608955217,1608955218,1608955218,1608955218
