#podName,tenantCreation,dwsDequeue,superCreation,superReady,uwsDequeue,tenantUpdate
vc79-t20-pod9,1608702281,1608702281,1608702281,1608702281,1608702281,1608702281
vc26-t12-pod16,1608702288,1608702288,1608702288,1608702288,1608702288,1608702288
vc73-t62-pod18,1608702290,1608702290,1608702290,1608702290,1608702290,1608702290
vc59-t56-pod0,1608702272,1608702272,1608702272,1608702272,1608702272,1608702272
vc40-t23-pod3,1608702275,1608702275,1608702275,1608702275,1608702275,1608702275
vc11-t46-pod3,1608702275,1608702275,1608702275,1608702275,1608702275,1608702275
vc11-t46-pod2,1608702274,1608702274,1608702274,1608702274,1608702274,1608702274
vc10-t1-pod12,1608702284,1608702284,1608702284,1608702284,1608702284,1608702284
vc46-t49-pod17,1608702289,1608702289,1608702289,1608702289,1608702289,1608702289
vc83-t15-pod19,1608702291,1608702291,1608702291,1608702291,1608702291,1608702291
vc42-t53-pod1,1608702273,1608702273,1608702273,1608702273,1608702273,1608702273
vc48-t91-pod1,1608702273,1608702273,1608702273,1608702273,1608702273,1608702273
vc21-t47-pod9,1608702281,1608702281,1608702281,1608702281,1608702281,1608702281
vc96-t89-pod21,1608702293,1608702293,1608702293,1608702293,1608702293,1608702293
vc60-t58-pod1,1608702273,1608702273,1608702273,1608702273,1608702273,1608702273
vc97-t60-pod2,1608702274,1608702274,1608702274,1608702274,1608702274,1608702274
vc1-t72-pod16,1608702288,1608702288,1608702288,1608702288,1608702288,1608702288
vc67-t57-pod12,1608702284,1608702284,1608702284,1608702284,1608702284,1608702284
vc58-t85-pod2,1608702274,1608702274,1608702274,1608702274,1608702274,1608702274
vc41-t4-pod8,1608702280,1608702280,1608702280,1608702280,1608702280,1608702280
vc45-t54-pod9,1608702281,1608702281,1608702281,1608702281,1608702281,1608702281
vc93-t99-pod13,1608702285,1608702285,1608702285,1608702285,1608702285,1608702285
vc51-t43-pod20,1608702292,1608702292,1608702292,1608702292,1608702292,1608702292
vc60-t58-pod21,1608702293,1608702293,1608702293,1608702293,1608702293,1608702293
vc80-t33-pod23,1608702295,1608702295,1608702295,1608702295,1608702295,1608702295
vc34-t76-pod1,1608702273,1608702273,1608702273,1608702273,1608702273,1608702273
vc43-t28-pod3,1608702275,1608702275,1608702275,1608702275,1608702275,1608702275
vc71-t75-pod7,1608702279,1608702279,1608702279,1608702279,1608702279,1608702279
vc77-t8-pod25,1608702297,1608702297,1608702297,1608702297,1608702297,1608702297
vc65-t93-pod1,1608702273,1608702273,1608702273,1608702273,1608702273,1608702273
vc13-t52-pod9,1608702281,1608702281,1608702281,1608702281,1608702281,1608702281
vc50-t67-pod15,1608702287,1608702287,1608702287,1608702287,1608702287,1608702287
vc19-t21-pod15,1608702287,1608702287,1608702287,1608702287,1608702287,1608702287
vc79-t20-pod17,1608702289,1608702289,1608702289,1608702289,1608702289,1608702289
vc62-t44-pod23,1608702295,1608702295,1608702295,1608702295,1608702295,1608702295
